Workbook,Sheet,Method,W/A,Params,Natural Avg,Specialized Avg,Structured Avg,Group Avg,Tot. Avg,Comments,Anomaly Notes
qpeft_exps.xlsx,vitb_vtab,"LoRA(r=2),qkv_fc1",32/32,165888,81.3414,86.1400,60.3025,75.9280,73.4932,,
qpeft_exps.xlsx,vitb_vtab,"LoRA(r=2),qkv_fc1,with-grad-scale",4/4,165888+83484,75.7771,85.3650,60.1388,73.7603,71.2111,"init shift=0.17, per-tensor",
qpeft_exps.xlsx,vitb_vtab,"LoRA(r=2),qkv_fc1,with-grad-scale",3/3,165888+83484,74.1771,84.5875,58.9237,72.5628,69.9463,"init shift=0.17, per-tensor",
qpeft_exps.xlsx,vitl_vtab,"lora2, qkv-fc1",32/32,442368,83.3500,86.5250,58.8700,76.2483,73.7111,,
qpeft_exps.xlsx,vitl_vtab,"LoRA(r=2),qkv_fc1,with-grad-scale",3/3,442368+222168,80.1614,85.2700,60.5763,75.3359,72.9905,,
qpeft_exps.xlsx,vitl_vtab,"LoRA(r=2),qkv_fc1,with-grad-scale",4/4,442368+222168,81.8114,86.0825,60.3600,76.0846,73.6784,,
qpeft_exps.xlsx,vitl_vtab,"LoRA(r=2),qkv_fc1,with-grad-scale",2/2,,62.3057,79.3700,52.8675,64.8477,61.9242,,
qpeft_exps.xlsx,QAT_baselines,T=vtab_Q=3bit_L=None,,,48.3486,75.5925,45.2725,56.4045,52.7889,,
qpeft_exps.xlsx,QAT_baselines,T=vtab_Q=4bit_L=None,,,60.5229,75.9125,46.4275,60.9543,57.8279,,
qpeft_exps.xlsx,abl_on_shift,no-shift,3/3,165888+83328,65.9243,81.7450,54.7725,67.4806,64.5595,没有任何shift,
qpeft_exps.xlsx,abl_on_shift,shift as constant,3/3,165888+83328,73.9757,84.4925,58.9062,72.4582,69.8447,post-gelu-shift=0.17,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=0,3/3,165888+83340,61.9929,82.4325,57.1163,67.1805,64.2426,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=01,,,71.4700,83.7075,57.9013,71.0263,68.3332,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=02,,,73.3214,84.1000,59.2687,72.2301,69.6737,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=03,,,73.8957,84.3575,58.9038,72.3857,69.7858,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=04,,,74.1100,84.3375,59.2825,72.5767,70.0200,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=05,,,74.2800,84.1350,59.3750,72.5967,70.0789,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=06,,,74.3014,84.3500,59.0862,72.5792,70.0105,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=07,,,74.2714,84.8400,58.8775,72.6630,70.0147,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=08,,,73.9429,84.2775,58.7850,72.3351,69.7363,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=09,,,73.9100,84.1800,57.8500,71.9800,69.3100,,
qpeft_exps.xlsx,abl_on_drop_epc,drop_epc=10,,,73.7014,84.1050,57.8638,71.8901,69.2232,,
