series,n,first_step,last_step,first_value,last_value,min_value,max_value
val_acc1,10,10,99,1.8899999856948853,53.5,1.8899999856948853,53.5
val_acc5,10,10,99,7.050000190734863,84.19000244140625,7.050000190734863,84.30999755859375
val_loss,10,10,99,4.6064534187316895,1.8691412210464478,1.8443493843078613,4.6064534187316895
train_loss,3200,0,3199,4.581261157989502,0.018157677724957466,0.008079836145043373,4.648807525634766
learning_rate,3200,0,3199,0.0,1.0037646092087016e-07,0.0,0.0010000000474974513
drop_prob_mean,99,1,99,0.9890232086181641,0.0,0.0,0.9890232086181641
drop_prob_min,99,1,99,0.9890232086181641,0.0,0.0,0.9890232086181641
drop_prob_max,99,1,99,0.9890232086181641,0.0,0.0,0.9890232086181641
grad/attn_quantizer.log_base_alpha/block_0,3200,0,3199,0.0021217456087470055,0.0014403266832232475,0.00023147014144342393,0.10000500828027725
grad/attn_quantizer.log_base_alpha/block_5,3200,0,3199,0.0002061178965959698,0.000941738486289978,0.00010055428720079362,0.04725952446460724
grad/attn_quantizer.log_base_alpha/block_11,3200,0,3199,0.00016296454123221338,0.000875776051543653,5.795765173388645e-05,0.009559976868331432
grad/mlp.fc2.lora_B/block_0,3200,0,3199,0.08150216937065125,0.04808270186185837,0.009620877914130688,5.648077011108398
grad/mlp.fc2.lora_B/block_5,3200,0,3199,0.05558836832642555,0.03702709078788757,0.006817915476858616,1.4068108797073364
grad/mlp.fc2.lora_B/block_11,3200,0,3199,0.014858609065413475,0.017272619530558586,0.0028416593559086323,0.40700799226760864
grad/qkv.lora_B/block_0,3200,0,3199,0.07486052066087723,0.026944076642394066,0.006324684247374535,2.242607593536377
grad/qkv.lora_B/block_5,3200,0,3199,0.08021283894777298,0.054556816816329956,0.011153575964272022,1.8506451845169067
grad/qkv.lora_B/block_11,3200,0,3199,0.093307264149189,0.04572390392422676,0.004960737656801939,1.0047869682312012
